Game,Publisher,TotalSales,NASales,PALSales,JPSales,OtherSales,ReleaseDate,LinkToPage
Wii Sports,Nintendo,82.65m,41.36m,29.02m,3.77m,8.51m,19th Nov 06,https://www.vgchartz.com/games/game.php?id=2667&region=All
Super Mario Bros.,Nintendo,40.24m,29.08m,3.58m,6.81m,0.77m,18th Oct 85,https://www.vgchartz.com/games/game.php?id=6455&region=All
Mario Kart Wii,Nintendo,35.98m,15.91m,12.92m,3.80m,3.35m,27th Apr 08,https://www.vgchartz.com/games/game.php?id=6968&region=All
Wii Sports Resort,Nintendo,32.90m,15.61m,10.99m,3.29m,3.02m,26th Jul 09,https://www.vgchartz.com/games/game.php?id=24656&region=All
Pokémon Red / Green / Blue Version,Nintendo,31.37m,11.27m,8.89m,10.22m,1.00m,30th Sep 98,https://www.vgchartz.com/games/game.php?id=4030&region=All
Tetris,Nintendo,30.26m,23.20m,2.26m,4.22m,0.58m,01st Jun 89,https://www.vgchartz.com/games/game.php?id=4534&region=All
New Super Mario Bros.,Nintendo,29.85m,11.28m,9.19m,6.50m,2.89m,15th May 06,https://www.vgchartz.com/games/game.php?id=1582&region=All
Wii Play,Nintendo,28.92m,13.96m,9.18m,2.93m,2.85m,12th Feb 07,https://www.vgchartz.com/games/game.php?id=2666&region=All
New Super Mario Bros. Wii,Nintendo,28.51m,14.53m,7.01m,4.70m,2.27m,15th Nov 09,https://www.vgchartz.com/games/game.php?id=35076&region=All
Duck Hunt,Nintendo,28.31m,26.93m,0.63m,0.28m,0.47m,15th Oct 85,https://www.vgchartz.com/games/game.php?id=6246&region=All
Nintendogs,Nintendo,24.68m,9.05m,10.96m,1.93m,2.74m,23rd Aug 05,https://www.vgchartz.com/games/game.php?id=1657&region=All
Mario Kart DS,Nintendo,23.26m,9.71m,7.51m,4.13m,1.91m,14th Nov 05,https://www.vgchartz.com/games/game.php?id=1254&region=All
Pokémon Gold / Silver Version,Nintendo,23.10m,9.00m,6.18m,7.20m,0.71m,14th Oct 00,https://www.vgchartz.com/games/game.php?id=4025&region=All
Wii Fit,Nintendo,22.70m,8.92m,8.03m,3.60m,2.15m,21st May 08,https://www.vgchartz.com/games/game.php?id=7480&region=All
Kinect Adventures!,Microsoft Game Studios,22.10m,15.09m,4.97m,0.24m,1.81m,04th Nov 10,https://www.vgchartz.com/games/game.php?id=45608&region=All
Wii Fit Plus,Nintendo,21.81m,9.01m,8.51m,2.53m,1.76m,04th Oct 09,https://www.vgchartz.com/games/game.php?id=35077&region=All
Grand Theft Auto: San Andreas,Rockstar Games,20.81m,9.43m,0.40m,0.41m,10.57m,26th Oct 04,https://www.vgchartz.com/games/game.php?id=3427&region=All
